Name	Type
Knobloch 	Family
Knott	Family
Labarthe 	Family
Labbé 	Family
Labit 	Family
Laborde 	Family
Lacase 	Family
Lacour 	Family
Lafiton 	Family
Lafleur 	Family
Lafranche 	Family
Lagarde 	Family
Lahaye 	Family
Laine 	Family
Lambremont 	Family
Lamothe 	Family
Lanclos 	Family
Lancon 	Family
Landreaux 	Family
Landreneau 	Family
Langlinais 	Family
Lanoix 	Family
Lapeyrouse 	Family
Lapointe 	Family
Larose 	Family
Lasalle 	Family
Lasseigne 	Family
Lastrapes 	Family
Latiolais 	Family
Lagrange 	Family
Langlois 	Family
Latour 	Family
Lavergne 	Family
Lemaire 	Family
Mallet 	Family
Marchand 	Family
Marquis 	Family
Maurin	Family
Ménard 	Family
Noël 	Family
Lauve 	Family
Laviolette 	Family
Lebeau 	Family
Lebleu 	Family
Le Boeuf 	Family
Lecompte 	Family
Lecoq 	Family
Ledet 	Family
Ledoux 	Family
Lefere 	Family
Legnon 	Family
Leleux 	Family
Le Mane 	Family
Lemaitre 	Family
Lemoine 	Family
Leonard 	Family
Leray 	Family
Leriche 	Family
Lesage 	Family
Lessard 	Family
Lévêque 	Family
Levert 	Family
Lion	Family
Lirette 	Family
Lopez 	Family
Loret 	Family
Lormand 	Family
Louaillier 	Family
Loupe 	Family
Loyer 	Family
Loze 	Family
Luc 	Family
Mabile 	Family
Mahier 	Family
Maitre 	Family
Malbrough 	Family
Manger 	Family
Manuel 	Family
Marcantel 	Family
Marceaux 	Family
Marcel 	Family
Marin 	Family
Marks 	Family
Marrionneaux 	Family
Mars 	Family
Marson 	Family
Martinez 	Family
Matherne 	Family
Mathias 	Family
Matte 	Family
Maurice 	Family
Maxent 	Family
Mayard 	Family
Mayer 	Family
Mayeux 	Family
Mcbride 	Family
Mccaulay 	Family
Mccrory 	Family
Mcgee 	Family
Meaux 	Family
Meche 	Family
Mendoza 	Family
Migott 	Family
Miguez 	Family
Miller 	Family
Minvielle 	Family
Mollere 	Family
Monté	Family
Montero 	Family
Moreau 	Family
Moreno 	Family
Mornhinveg 	Family
Morvant 	Family
Mouille 	Family
Moulard 	Family
Munson 	Family
Navarre 	Family
Nee 	Family
Neraut 	Family
Newchurch 	Family
Nezat 	Family
Normand 	Family
Nunez 	Family
Oldham 	Family
Olinde 	Family
Oncale 	Family
Orcutt 	Family
Ordogne 	Family
Ordoneaux 	Family
Ortego 	Family
Ory 	Family
Oubre 	Family
Panvil 	Family
Paquette 	Family
Parent 	Family
Patin 	Family
Peck 	Family
Pecot 	Family
Pelegrin 	Family
Pelletier	Family
Peloquin 	Family
Penisson 	Family
Penn 	Family
Periou 	Family
Perrault 	Family
Perret 	Family
Perrin 	Family
Perrodin 	Family
Perry 	Family
Pertuit 	Family
Picard 	Family
Pichoff 	Family
Plaisance 	Family
Poché	Family
Pomier 	Family
Pontiff 	Family
Pourciau 	Family
Poursine 	Family
Prather 	Family
Prevost	Family
Pellerin	Family
Petit	Family
Picou	Family
Renaud	Family
Robin	Family
Rodrigue	Family
Rousseau	Family
Simon	Family
St. Germain	Family
Thibeaux	Family
Vigé	Family
Prewett	Family
Primeaux	Family
Pringle	Family
Prosper	Family
Prudhomme	Family
Pujol	Family
Pulaski	Family
Quebedeaux	Family
Quintero	Family
Racca	Family
Rachal	Family
Ramouin	Family
Raffray	Family
Raulin	Family
Rayon	Family
Reaux	Family
Reed	Family
Reine	Family
Rentrop	Family
Riche	Family
Rider	Family
Ringuet	Family
Rivas	Family
Rivero	Family
Riviere	Family
Robeau	Family
Robert	Family
Roche	Family
Roddy	Family
Rodrigues	Family
Romagosa	Family
Romain	Family
Roman	Family
Rome	Family
Romero	Family
Rossi	Family
Roth	Family
Rougeau	Family
Rouillet	Family
Roussel	Family
Roustan	Family
Royer	Family
Rybiski	Family
Saizan	Family
Sanchez	Family
Sandoz	Family
Sarvant	Family
Saucier	Family
Schexnayder	Family
Schlatre	Family
Seely	Family
Seghers	Family
Seguin	Family
Segura	Family
Sellers	Family
Senette	Family
Serre	Family
Serrette	Family
Sevin	Family
Shaffer	Family
Sicard	Family
Silvy	Family
Simar	Family
Simoneaux	Family
Smith	Family
Soileau 	Family
St. Amant	Family
St. Cyr	Family
St. Julien	Family
St. Martin	Family
St. Pierre	Family
Stansberry	Family
Stelly  	Family
Stephen	Family
Stille	Family
Stoufle	Family
Suarez	Family
Suire	Family
Sutter	Family
Sylvestre	Family
Tabor	Family
Tassin	Family
Tate	Family
Tauzin	Family
Taylor	Family
Terrebonne	Family
Tertron	Family
Tircuit	Family
Toffier	Family
Touchet	Family
Toups	Family
Tregle	Family
Triche	Family
Trimble	Family
Trosclair	Family
Truxillo	Family
Tuillier	Family
Vallot	Family
Valois	Family
Vannoy	Family
Vasseur	Family
Vavasseur	Family
Venable	Family
Verret	Family
Viator	Family
Vicknair	Family
Vidrine	Family
Vignes	Family
Villaneuva	Family
Vives	Family
Voisin	Family
Voorhies	Family
Waguespack	Family
Webre	Family
Wiltz	Family
Wyble	Family
Young	Family
Zeringue	Family
Zimmerman	Family
